Order,Industry,Number of new projects,Newly registered capital (million USD),Adjusted project number,Adjusted capital (million USD),Number of times of capital contribution to buy shares,"Value of capital contribution, share purchase
(million USD)",Year
1,Manufacturing and processing industry,955,8927.8,517,6305.4,,,2015
2,"Producing and distributing electricity, gas, water, air conditioning",9,2795.3,8,14.0,,,2015
3,Real estate business,34,2146.4,12,248.3,,,2015
4,Construction,112,573.6,26,162.9,,,2015
5,"Wholesale and retail; repair cars, motorbikes, motorbikes",306,375.2,89,166.8,,,2015
6,"Agriculture, forestry and fisheries",18,160.0,14,107.5,,,2015
7,"Professional activities, science and technology",209,228.8,54,21.3,,,2015
8,Warehousing transportation,51,67.2,18,73.6,,,2015
9,Accommodation and food services,59,97.2,9,25.0,,,2015
10,Information and communication,164,65.5,40,30.8,,,2015
11,Administrative activities and support services,25,57.3,6,-5.5,,,2015
12,Other service activities,15,27.7,5,10.4,,,2015
13,Education and training,39,28.8,9,0.4,,,2015
14,Water supply and waste treatment,3,2.2,3,15.4,,,2015
15,Health and social assistance activities,10,11.3,2,2.0,,,2015
16,Extractive,2,10.4,,,,,2015
17,"Art, play and entertainment",1,2.5,1,0.4,,,2015
18,"Financial, banking and insurance activities",,0.0,1,1.1,,,2015
19,Employment activities in households,1,0.3,,,,,2015
20,Manufacturing and processing industry,1020,9812.57,861,5132.55,290.00,593.51,2016
21,"Wholesale and retail; repair cars, motorbikes, motorbikes",505,367.04,99,320.72,1269.00,1211.45,2016
22,Real estate business,59,1522.67,12,-559.05,80.00,722.55,2016
23,"Professional activities, science and technology",282,436.45,65,316.95,212.00,179.68,2016
24,Warehousing transportation,88,703.94,22,-29.00,119.00,207.19,2016
25,Construction,124,388.51,47,56.21,131.00,165.68,2016
26,"Financial, banking and insurance activities",12,511.02,1,0.01,32.00,71.38,2016
27,Water supply and waste treatment,13,485.09,5,2.31,4.00,0.86,2016
28,Accommodation and food services,97,278.14,11,58.02,135.00,70.53,2016
29,Information and communication,195,103.12,46,233.22,120.00,32.94,2016
30,"Art, play and entertainment",2,210.59,6,118.13,4.00,1.08,2016
31,Administrative activities and support services,58,45.51,12,23.83,68.00,91.02,2016
32,"Producing and distributing electricity, gas, water, air conditioning",2,127.23,3,3.02,1.00,2.18,2016
33,"Agriculture, forestry and fisheries",12,44.40,14,34.91,9.00,20.17,2016
34,Extractive,1,31.50,1,37.15,2.00,1.37,2016
35,Other service activities,5,55.76,7,9.77,6.00,2.23,2016
36,Education and training,70,47.32,9,-0.22,56.00,13.35,2016
37,Health and social assistance activities,10,11.24,3,2.67,9.00,38.17,2016
38,Employment activities in households,1,0.15,1,3.90,,,2016
39,Manufacturing and processing industry,932," 6,860.36 ",761," 7,271.27 "," 1,365 "," 1,744.36 ",2017
40,"Producing and distributing electricity, gas, water, air conditioning",13," 8,369.30 ",5, 4.77 ,,,2017
41,Real estate business,65," 2,238.93 ",23, 281.34 , 107 , 533.36 ,2017
42,"Wholesale and retail; repair cars, motorbikes, motorbikes",585, 493.00 ,111, 114.85 ," 1,945 "," 1,555.86 ",2017
43,Extractive,2," 1,279.02 ",,, 4 , 9.88 ,2017
44,Construction,122, 171.75 ,48, 102.51 , 224 , 858.79 ,2017
45,"Professional activities, science and technology",324, 390.26 ,71, 138.47 , 428 , 499.34 ,2017
46,Water supply and waste treatment,12, 566.70 ,2, 1.30 ,,,2017
47,Accommodation and food services,106, 122.50 ,29, 110.48 , 222 , 280.22 ,2017
48,Health and social assistance activities,14, 162.31 ,10, 106.59 , 21 , 118.63 ,2017
49,Warehousing transportation,74, 173.17 ,29, 143.29 , 137 , 70.12 ,2017
50,Information and communication,182, 140.78 ,52, 45.40 , 246 , 50.51 ,2017
51,"Agriculture, forestry and fisheries",17, 179.31 ,14, 2.59 , 29 , 9.65 ,2017
52,Education and training,59, 60.40 ,11, (3.22), 77 , 59.57 ,2017
53,Administrative activities and support services,66, 24.11 ,11, 10.89 , 139 , 74.03 ,2017
54,Other service activities,8, 24.83 ,5, 1.07 , 20 , 22.84 ,2017
55,"Financial, banking and insurance activities",3, 0.18 ,2, 69.87 , 32 , 18.17 ,2017
56,"Art, play and entertainment",6, 18.50 ,4, 15.41 , 6 , 3.81 ,2017
57,Employment activities in households,1, 0.50 ,,,,,2017
58,Manufacturing and processing industry,1065," 9,067.46 ",743," 5,093.78 "," 1,528 "," 2,426.80 ",2018
59,Real estate business,92," 5,216.78 ",31, 727.44 , 147 , 671.11 ,2018
60,"Wholesale and retail; repair cars, motorbikes, motorbikes",757, 704.53 ,119, 105.26 ," 2,829 "," 2,863.11 ",2018
61,"Professional activities, science and technology",386, 183.37 ,88, 144.05 , 584 ," 1,820.00 ",2018
62,"Producing and distributing electricity, gas, water, air conditioning",19," 1,631.33 ",2, (3.65),,,2018
63,Construction,114, 217.67 ,38, 26.74 , 255 , 938.66 ,2018
64,"Art, play and entertainment",7, 6.20 ,1," 1,125.00 ", 9 , 2.44 ,2018
