Order,Provinces,Number of new projects,Newly registered capital (million USD),Adjusted project number,Adjusted capital (million USD),Number of times of capital contribution to buy shares,"Value of capital contribution, share purchase
(million USD)",Year
1,Bac Ninh,133,149.6,103,3500.2,,,2015
2,TP. Ho Chi Minh,570,2811.7,199,512.3,,,2015
3,Binh Duong,200,2465.8,95,487,,,2015
4,Tra Vinh,2,2526.8,,,,,2015
5,Dong Nai,103,1471.9,71,475.1,,,2015
6,Ha Noi,352,910.7,84,177.7,,,2015
7,Hai Phong,45,573.1,26,237.7,,,2015
8,Ba Ria - Vung Tau,11,326.3,13,406.1,,,2015
9,Long An,119,308.7,42,268.4,,,2015
10,Tay Ninh,16,502.9,5,25.3,,,2015
11,Hai Duong,28,269.9,19,137.3,,,2015
12,Bac Giang,51,223.2,22,182.9,,,2015
13,Quang Ninh,10,373.9,4,18.4,,,2015
14,Vinh Phuc,34,273.2,16,104.4,,,2015
15,Ha Nam,34,288.1,15,50.4,,,2015
16,Hung Yen,34,270.1,15,59.6,,,2015
17,Binh Phuoc,21,91.9,11,164.4,,,2015
18,Quang Nam,18,178.9,5,77.3,,,2015
19,Thai Nguyen,23,188.9,8,22.3,,,2015
20,Nghe An,15,196.5,2,9.8,,,2015
21,Ben Tre,2,157.4,2,1.2,,,2015
22,Ha Tinh,9,116,1,41.3,,,2015
23,Thua Thien Hue,7,78.1,3,61.9,,,2015
24,Phu Tho,12,87.6,4,5.6,,,2015
25,Tien Giang,7,55.1,5,37,,,2015
26,Yen Bai,2,78.7,,,,,2015
27,Nam Dinh,13,67.2,1,11,,,2015
28,An Giang,8,67.2,1,1.6,,,2015
29,Binh Dinh,6,43.1,4,14.3,,,2015
30,Khanh Hoa,6,53.6,2,2.1,,,2015
31,Thai Binh,8,49.6,,,,,2015
32,Da Nang,58,52.5,15,-8.3,,,2015
33,Thanh Hoa,7,44,,,,,2015
34,Ninh Binh,7,37.7,4,5.4,,,2015
35,Phu Yen,4,50,1,-10,,,2015
36,Kien Giang,2,33,,,,,2015
37,Dak Lak,3,20.8,1,10,,,2015
38,Quang Binh,3,12.2,1,15.4,,,2015
39,Binh Thuan,1,0,4,26.5,,,2015
40,Hau Giang,,,1,25,,,2015
41,Quang Ngai,6,24.1,,,,,2015
42,Can Tho,5,17.9,,,,,2015
43,Vinh Long,4,12.8,,,,,2015
44,Dong Thap,1,0.2,2,10.2,,,2015
45,Lam Dong,5,7.6,1,1.5,,,2015
46,Soc Trang,1,6,,,,,2015
47,Bac Lieu,,,3,5.7,,,2015
48,Tuyen Quang,,,2,5.4,,,2015
49,Hoa Binh,5,3,,,,,2015
50,Ninh Thuan,1,0,1,0.6,,,2015
51,Bac Kan,1,0.3,,,,,2015
52,TP. Ho Chi Minh,836,1006.69,222,619.07,1935,1802.56,2016
53,Hai Phong,52,2464.32,38,429.24,27,96.34,2016
54,Ha Noi,453,1922.76,159,504.47,228,367.21,2016
55,Binh Duong,256,1630.52,130,641.97,25,94.72,2016
56,Dong Nai,91,1043.74,136,921.05,55,273.44,2016
57,Bac Giang,53,937.51,20,71.06,10,1.46,2016
58,Bac Ninh,185,578.64,130,271.49,24,49.87,2016
59,Long An,122,296.85,95,448.85,32,77.21,2016
60,Ha Nam,31,604.33,29,100.7,,,2016
61,Tay Ninh,24,273.87,25,427.57,,,2016
62,Phu Yen,2,159.22,1,95.5,4,307.06,2016
63,Quang Ninh,10,517.74,,,8,37.89,2016
64,Ba Ria - Vung Tau,18,259.62,13,201.93,15,70.18,2016
65,Hai Duong,29,129.59,27,242.15,11,44.01,2016
66,Tien Giang,14,388.48,10,25,3,1.05,2016
67,Hung Yen,42,313.8,33,60.18,15,18.41,2016
68,Ha Tinh,9,244.84,2,133.47,3,12.95,2016
69,Vinh Phuc,30,274.12,18,103.31,18,11.85,2016
70,Nam Dinh,14,259.15,12,23.22,4,21.98,2016
71,Tra Vinh,7,256.5,,,,,2016
72,Can Tho,8,225.99,1,1.12,3,14,2016
73,Thanh Hoa,15,163.76,11,69.6,1,0.04,2016
74,Phu Tho,13,95.87,17,102.31,1,0.69,2016
75,Thai Nguyen,23,132.2,15,24.69,8,7.46,2016
76,Vinh Long,7,136.66,3,6.3,,,2016
77,Quang Nam,18,122.89,4,14.96,1,0.02,2016
78,Binh Phuoc,20,50.62,18,54.59,,,2016
79,Da Nang,74,78.02,11,-10.04,33,29.29,2016
80,Ninh Binh,5,89.24,2,0.94,,,2016
81,Ninh Thuan,3,71.52,3,14.1,3,2.68,2016
82,Binh Dinh,10,81.99,1,2.61,2,0.68,2016
83,Nghe An,9,72.49,,,,,2016
84,Hau Giang,,,2,70,,,2016
85,Khanh Hoa,8,6.32,4,39.2,49,22.53,2016
86,Thai Binh,9,32.93,4,13.74,4,7.36,2016
87,Tuyen Quang,,,2,38.98,3,5.68,2016
88,Quang Binh,3,21.43,,,1,21.06,2016
89,Lam Dong,,,6,39.49,10,1.95,2016
90,Ben Tre,6,29.28,2,0.71,2,2.36,2016
91,Dau khi,1,31.5,,,,,2016
92,Thua Thien Hue,9,28.39,1,0.7,1,1.15,2016
93,Lao Cai,2,0.38,2,25.94,,,2016
94,Quang Ngai,9,96.3,4,-74.32,,,2016
95,Dong Thap,3,17.9,,,2,0.5,2016
96,Ha Giang,,,,,2,11.09,2016
97,An Giang,1,0.02,2,3.1,1,7.52,2016
98,Hoa Binh,1,3,5,5.77,,,2016
99,Lang Son,2,7.79,,,,,2016
100,Binh Thuan,10,2.83,2,3.62,,,2016
101,Kon Tum,3,5.96,,,,,2016
102,Soc Trang,1,5,,,,,2016
103,Kien Giang,2,4.77,,,,,2016
104,Quang Tri,1,4,,,,,2016
105,Yen Bai,1,0.66,1,1,3,1.05,2016
106,Dak Lak,1,0.23,,,,,2016
107,Dak Nong,,,1,-1.3,,,2016
108,Gia Lai,,,1,-2.94,,,2016
109,TP. Ho Chi Minh,864,"2,313.95",247,"1,000.11","2,788","3,191.90",2017
110,Bac Ninh,184,371.71,136,"2,888.34",125,144.49,2017
111,Thanh Hoa,15,"3,159.40",5,5.8,7,6.51,2017
112,Binh Duong,189,"1,356.46",132,"1,117.00",392,324.71,2017
113,Khanh Hoa,4,"2,584.86",2,13.5,55,28.04,2017
114,Ha Noi,542,"1,111.25",167,662.73,637,724.97,2017
115,Nam Dinh,16,"2,134.30",10,92.08,10,77.6,2017
116,Dong Nai,83,"1,002.38",81,307.76,181,453.86,2017
117,Kien Giang,7,"1,342.30",2,-28.99,2,0.03,2017
118,Tay Ninh,24,722.9,30,268.09,28,18.26,2017
119,Hai Phong,57,220.72,41,622.75,35,41.41,2017
120,Bac Giang,69,764.9,18,18.27,36,72.36,2017
121,Ba Ria - Vung Tau,25,204.27,15,242.97,34,80.24,2017
122,Hung Yen,37,360.64,44,144.16,36,16.81,2017
123,Binh Phuoc,24,369.91,21,111.07,22,30.8,2017
124,Long An,97,207.81,81,136.4,164,166.72,2017
125,Quang Ngai,7,313.84,2,60.75,,,2017
126,Hai Duong,48,247.94,27,83.33,37,34.88,2017
127,Ninh Thuan,3,265.77,,,4,0.35,2017
128,Ha Nam,18,119.11,19,104.64,16,20.84,2017
129,Yen Bai,4,237.02,,,2,1.13,2017
130,Ben Tre,4,168.41,5,43.95,13,23.8,2017
131,Ninh Binh,8,126.17,4,56.1,7,51.8,2017
132,Phu Tho,15,153.49,16,73.72,4,2.95,2017
133,Quang Binh,2,56.07,,,8,155.85,2017
134,Vinh Phuc,44,108.81,7,54.1,52,40.52,2017
135,Binh Dinh,9,117.22,4,31.7,7,1.25,2017
136,Tien Giang,6,68.62,7,67.3,10,14.13,2017
137,Tra Vinh,4,144.92,1,-5.09,7,3.46,2017
138,Da Nang,66,115.86,6,0.94,111,25.77,2017
139,Quang Nam,18,112.65,4,9.5,18,12.85,2017
140,Vinh Long,3,55.31,5,72.41,,,2017
141,Nghe An,4,123.32,,,2,0.16,2017
142,Thai Nguyen,12,13.81,17,85.1,18,7.01,2017
143,Thai Binh,11,96.26,7,-4.11,10,7.35,2017
144,Ha Tinh,7,16.41,2,40.55,13,41.94,2017
145,Dong Thap,4,51.01,2,1.65,4,23.81,2017
146,Lam Dong,7,59.53,4,3.83,40,9.24,2017
